n,first_author,year,title,journal,doi,pmid,pmcid,full_authors,pdf_is_preprint
1,Bezrutczyk M et al.,2021,Evidence for phloem loading via the abaxial bundle sheath cells in maize leaves,Plant Cell,10.1093/plcell/koaa055,33955497,PMC8136869,"Bezrutczyk M, Zöllner NR, Kruse CPS, Hartwig T, Lautwein T, Köhrer K, Frommer WB, Kim JY.",False
2,Cao Y et al.,2023,Single-cell RNA sequencing profiles reveal cell type-specific transcriptional regulation networks conditioning fungal invasion in maize roots,Plant Biotechnol J,10.1111/pbi.14097,37349934,PMC10440994,"Cao Y, Ma J, Han S, Hou M, Wei X, Zhang X, Zhang ZJ, Sun S, Ku L, Tang J, Dong Z, Zhu Z, Wang X, Zhou X, Zhang L, Li X, Long Y, Wan X, Duan C.",False
3,Conde D et al.,2022,Single-nuclei transcriptome analysis of the shoot apex vascular system differentiation in Populus,Development,10.1242/dev.200632,36178121,PMC9720752,"Conde D, Triozzi PM, Pereira WJ, Schmidt HW, Balmant KM, Knaack SA, Redondo-López A, Roy S, Dervinis C, Kirst M.",False
4,Denyer T et al.,2019,Spatiotemporal Developmental Trajectories in the Arabidopsis Root Revealed Using High-Throughput Single-Cell RNA Sequencing,Dev Cell,10.1016/j.devcel.2019.02.022,30913408,,"Denyer T, Ma X, Klesen S, Scacchi E, Nieselt K, Timmermans MCP.",False
5,Dorrity MW et al.,2021,The regulatory landscape of Arabidopsis thaliana roots at single-cell resolution,Nat Commun,10.1038/s41467-021-23675-y,34099698,PMC8184767,"Dorrity MW, Alexandre CM, Hamm MO, Vigil AL, Fields S, Queitsch C, Cuperus JT.",True
6,Guillotin B et al.,2023,A pan-grass transcriptome reveals patterns of cellular divergence in crops,Nature,10.1038/s41586-023-06053-0,37165193,PMC10657638,"Guillotin B, Rahni R, Passalacqua M, Mohammed MA, Xu X, Raju SK, Ramírez CO, Jackson D, Groen SC, Gillis J, Birnbaum KD.",False
7,Jean-Baptiste K et al.,2019,Dynamics of Gene Expression in Single Root Cells of Arabidopsis thaliana,Plant Cell,10.1105/tpc.18.00785,30923229,PMC8516002,"Jean-Baptiste K, McFaline-Figueroa JL, Alexandre CM, Dorrity MW, Saunders L, Bubb KL, Trapnell C, Fields S, Queitsch C, Cuperus JT.",False
8,Kao P et al.,2021,Gene expression variation in Arabidopsis embryos at single-nucleus resolution,Development,10.1242/dev.199589,34142712,PMC8276985,"Kao P, Schon MA, Mosiolek M, Enugutti B, Nodine MD.",False
9,Liu Z et al.,2022,Identification of novel regulators required for early development of vein pattern in the cotyledons by single-cell RNA-sequencing,Plant J,10.1111/tpj.15719,35218590,PMC9310732,"Liu Z, Wang J, Zhou Y, Zhang Y, Qin A, Yu X, Zhao Z, Wu R, Guo C, Bawa G, Rochaix JD, Sun X.",False
10,Lyu M et al.,2025,The dynamic and diverse nature of parenchyma cells in the Arabidopsis root during secondary growth,Nat Plants,10.1038/s41477-025-01938-6,40140531,,"Lyu M, Iida H, Eekhout T, Mäkelä M, Muranen S, Ye L, Vatén A, Wybouw B, Wang X, De Rybel B, Mähönen AP.",False
